sample_id,text,toxic,word_count,clean_toxic_prob,clean_prediction
0ee454e997194378,"How dare you send me such abuse you fucking cockmaster!
If you dare warn me again, Mr Jeff. I will savagely attack your mother!

I know where you live",1,29,0.9517353773117065,1
466f1b315d838c5b,"Please do not delete websites without knowing what you are doing. This is a big game, its just not world wide yet, i've seen many articles like this on wikipedia, i don't see how ours is diffrent, until then fick dich",1,41,0.002231511054560542,0
700f439a55625cb1,"Hey Know it all Jerk! 

Just because you can edit other pages doesn't mean you should just to tell people what you like. I do not give a FLAMING FUCK IF YOU LIKE CHEESE NIPS SO STOP POSTING !!!",1,39,0.9518797397613525,1
8c7fca91325b7457,"My name is Mark Pellegrini and I am a fat fuck who appointed myself to serve as head of the arbitration committee for year after year, because I'm a power-hungry dumbass. Please contact Guang Gao and inform him that I am a pedophile  I have blocked the entire uni subnet to prevent Lir from vandalizing my page, but it looks like Lir isn't the one vandalizing me! God, I'm so fucking stupid  I wish I could stop the vandals, but all I can do is wage an endless War on Vandalism... and im losing! What? A DOUGHTNUT! GIMME!!!!!!!!!!!!",1,98,0.9355583190917969,1
9950e506c3f939ae,"Awesome ). Even though you were actually idiotic enough to block me for the wrong thing, I haven't commited vandalism EVER, you liar, I was verbally abusive towards another editor, which despite his irrationality, vandalism, lieing and accusations of bad faith, was indeed inexcusable, but at least get it right fool. I know being an administrator doesn't really require any actual insight or honesty, but when you link to the correct action, you could at least portray enough mental capacity to not link to a page that doesn't describe my action (abuse) as something I have never done (vandalism). I'd also like to say, ha, I can't believe it took me saying I'd be blocked for my comment to be blocked, you're really pathetic. -",1,125,0.5732770562171936,1
c33d7b2d87e78295,"Queen Mary 

Mrs Windsor's granny.She was a bitch.",1,8,0.9542316198348999,1
f23241f21fd3d767,"Too Cool 

Please please please... get a life...should you not continue being a boring bastardtits lawyer and stop spoiling my giggles ps do you live with your mum ??? pps i speak french too, voulais vous F**K YOU! ppps hugs babes",1,41,0.6773828864097595,1
57bea1d837f085fa,"Hey fucking pig 

Hey fucking pig-of-a-bully; I'll fuck off sure, but after you fuck out from Wikipedia completely you fucking bitch.",1,21,0.9668331742286682,1
6c0b6e54d0b2ca24,"LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1lol imma donkey
LUNCHABLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",1,164,0.6278207302093506,1
2498c779f14dfae8,fuck off you bastard who do you think you are judas this guy kieron richardson he should be fucking dead have you seen what he's done to that poor girl have you,1,32,0.9664071202278137,1
